VendorID,trip_distance,fare_amount,total_amount
1,63.5,390.0,406.38
2,63.41,315.2,344.58
2,63.39,300.0,378.38
2,63.27,300.0,302.75
2,63.25,210.0,231.43
2,63.2,246.3,289.43
1,63.1,229.1,250.23
2,62.74,244.2,329.9
2,62.65,150.0,164.38
2,62.61,311.7,412.1
2,62.52,300.0,302.75
2,62.44,200.0,221.13
1,62.3,295.0,357.3
2,62.3,310.0,313.5
2,62.3,411.1,435.04
2,62.24,200.0,241.38
2,62.13,224.9,243.15
2,61.87,398.0,439.01
2,61.7,399.9,451.65
2,61.7,351.6,475.79
2,61.54,336.2,368.21
2,61.54,100.0,101.0
2,61.52,221.4,276.43
2,61.47,334.1,383.73
2,61.33,304.7,402.5
2,61.11,250.0,277.75
2,61.09,364.9,375.59
2,60.93,150.0,201.0
2,60.88,300.0,302.75
2,60.58,150.0,184.2
2,60.57,236.5,260.57
2,60.4,217.2,240.58
2,60.36,306.0,407.44
1,60.3,220.0,302.47
1,60.2,234.4,319.66
2,60.02,200.0,214.38
2,60.01,334.1,365.29
1,60.0,420.9,429.15
2,59.93,355.8,438.24
2,59.88,404.1,407.35
2,59.83,359.3,363.55
2,59.83,180.0,187.75
2,59.81,347.4,445.86
2,59.77,222.22,231.91
2,59.68,224.2,243.08
2,59.62,450.0,478.13
2,59.52,140.0,171.0
2,59.49,317.3,349.31
2,59.47,240.0,261.0
2,59.45,198.0,217.0
2,59.43,349.5,353.75
2,58.81,240.0,281.0
2,58.78,200.0,230.44
2,58.76,285.8,351.81
2,58.71,210.0,219.69
2,58.44,150.0,192.01
2,58.43,229.8,269.62
2,58.36,299.1,379.22
1,58.3,212.3,230.86
2,58.28,290.0,368.19
2,58.22,300.0,361.2
2,58.11,200.0,228.26
2,58.06,300.0,368.95
2,57.98,309.6,349.61
1,57.9,208.8,258.06
1,57.8,219.0,311.26
1,57.6,343.9,437.43
2,57.55,300.0,354.95
2,57.54,224.6,303.56
2,57.52,210.9,289.54
1,57.4,327.1,336.54
2,57.35,200.0,224.88
2,57.34,206.7,231.39
2,57.2,264.1,354.23
2,57.13,384.5,420.25
2,57.06,270.0,359.56
2,57.02,330.6,397.73
2,57.01,435.0,439.0
2,57.0,356.5,358.5
1,56.8,208.8,262.79
2,56.73,299.1,360.73
2,56.71,339.7,350.45
2,56.65,328.5,352.57
2,56.52,215.0,223.75
2,56.36,343.9,362.53
2,56.31,150.0,222.04
2,56.31,225.3,243.55
2,56.28,225.0,241.48
2,56.22,325.0,401.63
2,56.17,299.1,301.85
2,56.15,180.0,225.3
2,56.09,300.0,384.83
2,56.09,300.0,390.68
2,56.02,225.0,289.01
2,55.97,354.4,372.65
2,55.95,275.0,334.2
2,55.8,199.7,246.08
1,55.7,200.0,233.99
2,55.7,291.4,360.96
2,55.68,190.0,191.0
2,55.59,312.4,337.52
2,55.56,343.9,347.15
2,55.55,350.5,443.35
1,55.3,173.0,224.38
2,55.18,265.0,267.75
2,55.16,289.3,402.62
2,54.99,150.0,164.88
2,54.98,278.1,387.2
2,54.94,243.1,260.73
2,54.93,83.5,87.0
2,54.9,258.0,300.01
2,54.81,299.1,317.98
2,54.73,392.0,487.68
2,54.65,251.5,287.13
2,54.63,340.4,406.59
2,54.58,265.0,337.01
2,54.51,357.9,434.23
2,54.49,283.7,314.71
2,54.47,283.7,339.2
2,54.46,280.9,317.17
2,54.4,197.0,240.0
2,54.28,285.1,377.78
2,54.27,385.0,405.69
2,54.22,324.3,409.44
2,54.22,240.0,252.75
2,54.07,362.8,416.05
2,54.05,284.0,300.13
2,54.04,308.9,331.97
2,54.0,277.4,308.78
2,53.82,203.9,208.9
2,53.82,302.6,312.29
2,53.82,284.0,316.01
2,53.8,250.0,270.0
2,53.78,201.1,275.25
2,53.7,273.2,310.21
2,53.69,334.1,369.36
2,53.67,306.1,419.96
2,53.65,175.0,179.75
2,53.64,197.6,252.0
2,53.63,364.5,466.38
2,53.61,325.0,419.92
2,53.61,212.7,263.21
1,53.5,200.4,344.25
2,53.49,278.8,313.31
2,53.47,225.0,297.05
2,53.45,340.0,351.0
2,53.45,218.3,292.04
2,53.37,200.0,251.63
2,53.35,271.1,359.23
2,53.33,273.9,303.16
2,53.23,214.8,257.54
2,53.21,325.0,403.13
2,53.2,293.5,303.69
2,53.2,275.0,323.07
2,53.17,211.3,281.31
2,53.11,367.7,396.2
2,53.07,246.6,292.85
2,53.01,272.5,329.88
2,52.99,266.0,291.5
2,52.94,267.6,298.24
2,52.91,189.9,247.6
1,52.9,192.7,220.77
2,52.89,264.8,312.93
2,52.88,309.6,391.73
2,52.86,339.0,457.39
2,52.85,217.6,252.11
2,52.81,299.8,387.09
2,52.77,300.0,326.13
2,52.64,294.9,318.97
1,52.6,305.4,395.74
2,52.52,190.6,204.85
2,52.42,206.4,275.46
1,52.4,225.0,242.75
2,52.31,336.9,340.15
2,52.26,276.0,292.19
2,52.26,271.1,368.04
2,52.22,339.7,355.89
2,52.21,283.0,302.69
1,52.2,323.6,406.54
2,52.19,299.8,325.37
2,52.13,245.0,280.07
2,52.09,91.0,107.38
2,52.08,207.8,211.55
2,52.01,207.8,265.81
2,51.98,219.3,289.55
2,51.93,185.7,226.39
2,51.93,292.8,328.37
2,51.9,262.7,353.3
2,51.9,329.2,433.77
2,51.83,357.9,371.65
1,51.8,0.0,1.0
2,51.77,217.9,235.28
2,51.77,193.0,279.31
1,51.7,204.3,228.37
2,51.68,70.0,99.23
2,51.62,250.0,295.07
2,51.61,167.5,170.25
1,51.6,199.99,200.99
2,51.6,350.0,352.75
2,51.43,70.0,80.19
1,51.4,350.9,356.65
1,51.3,292.1,303.29
2,51.28,305.4,310.4
2,51.24,70.0,87.69
2,51.23,286.5,326.57
2,51.2,181.5,222.55
2,51.14,354.4,443.74
2,51.12,206.4,227.03
2,51.01,218.0,301.97
2,50.98,339.0,344.25
2,50.97,229.8,252.24
2,50.93,303.3,315.24
2,50.91,264.0,279.5
2,50.91,262.0,326.51
1,50.9,215.0,272.15
2,50.84,272.5,302.69
2,50.82,318.0,385.15
2,50.65,332.7,349.58
1,50.6,205.0,249.39
2,50.54,298.4,384.96
1,50.4,184.3,352.0
2,50.36,331.0,360.63
1,50.3,185.7,254.42
2,50.29,189.2,217.23
2,50.23,282.3,351.37
2,50.11,330.6,401.47
2,50.08,332.0,340.8
2,50.04,287.9,315.47
2,49.98,348.1,394.51
2,49.97,140.0,181.76
2,49.93,353.0,478.91
2,49.93,267.6,343.53
2,49.92,180.8,196.18
1,49.9,266.0,337.08
2,49.85,290.0,330.01
2,49.85,296.5,357.0
2,49.83,331.0,355.69
2,49.8,221.4,300.59
2,49.8,250.0,313.38
2,49.77,288.6,301.29
2,49.72,249.4,279.41
2,49.72,175.0,220.01
2,49.69,255.0,258.25
2,49.61,254.3,308.71
2,49.53,247.3,301.81
2,49.53,297.0,304.75
2,49.44,176.6,184.54
2,49.42,200.0,202.75
2,49.4,300.0,333.13
2,49.36,199.4,235.9
2,49.35,180.1,191.29
2,49.33,306.8,368.93
2,49.28,209.0,305.0
2,49.27,244.5,326.13
2,49.2,243.8,293.68
2,49.19,353.7,382.52
2,49.19,175.2,200.27
2,49.17,150.0,220.07
2,49.15,295.6,307.79
2,49.12,278.1,346.2
2,49.1,180.1,246.88
1,49.1,173.0,203.07
2,49.08,276.0,343.08
2,49.06,265.0,293.26
2,48.99,220.0,243.13
2,48.96,220.0,282.6
2,48.91,261.3,289.93
1,48.9,300.0,314.88
2,48.89,256.4,321.91
2,48.87,323.6,377.67
2,48.87,305.4,338.65
2,48.75,325.7,397.39
2,48.73,297.7,301.95
2,48.71,206.0,271.2
2,48.7,193.8,268.22
1,48.6,193.0,251.58
2,48.58,272.5,324.94
2,48.51,208.8,240.81
1,48.5,177.3,227.94
2,48.45,255.0,309.51
2,48.43,273.9,283.59
2,48.43,192.4,257.66
2,48.4,269.7,340.89
1,48.4,297.7,300.2
2,48.29,273.9,341.16
2,48.26,266.9,310.34
2,48.21,240.0,258.13
2,48.12,315.9,320.15
2,48.11,277.4,290.84
2,48.05,171.7,229.47
2,48.04,220.0,278.3
2,48.01,278.8,344.11
2,47.95,245.2,320.05
2,47.94,280.0,369.16
2,47.83,260.0,323.28
1,47.8,264.1,299.29
2,47.79,164.0,192.74
2,47.71,290.7,333.27
2,47.69,258.0,331.01
2,47.66,193.8,222.24
2,47.62,200.0,202.75
2,47.6,311.7,314.95
2,47.53,191.0,285.6
2,47.5,110.0,117.75
2,47.48,230.0,239.69
2,47.46,247.3,277.99
2,47.45,120.0,148.2
2,47.44,184.0,255.38
2,47.44,324.3,327.55
2,47.38,241.0,275.69
2,47.37,268.3,347.05
2,47.34,191.7,214.02
2,47.31,234.7,311.18
2,47.28,299.0,380.38
2,47.28,200.0,248.95
2,47.18,170.0,196.0
2,47.13,224.9,260.91
1,47.1,311.0,351.57
1,47.1,281.6,586.6
2,47.08,170.0,206.95
2,47.08,287.9,351.48
2,47.07,189.6,223.48
2,47.06,169.6,212.73
2,47.06,191.0,204.75
2,47.03,191.0,208.5
2,47.01,283.0,305.44
2,46.98,160.0,204.38
2,46.97,219.3,255.93
2,46.92,303.3,318.05
2,46.92,195.2,232.77
2,46.91,205.0,263.28
2,46.9,160.0,213.29
2,46.89,264.1,328.8
1,46.8,285.0,344.69
1,46.8,185.0,248.04
1,46.8,168.9,171.4
2,46.66,164.0,240.86
2,46.63,252.9,287.47
2,46.62,238.9,300.11
1,46.6,3.7,6.2
2,46.6,250.0,253.25
2,46.6,150.0,161.0
2,46.59,271.0,308.63
2,46.59,225.0,227.75
2,46.56,322.9,405.94
2,46.54,238.2,314.37
2,46.51,266.2,349.55
1,46.5,168.9,188.9
2,46.47,180.1,192.79
2,46.42,229.8,297.8
2,46.42,70.0,109.26
2,46.34,240.3,268.93
2,46.32,186.8,225.3
2,46.31,224.2,258.71
1,46.3,262.0,302.19
1,46.3,255.0,315.19
1,46.3,169.6,217.85
1,46.3,167.5,200.63
2,46.23,311.0,331.19
2,46.21,190.3,244.86
2,46.21,250.0,327.68
2,46.19,283.0,357.48
2,46.17,224.2,304.7
2,46.16,239.6,298.8
2,46.14,250.0,278.07
2,46.12,299.1,304.85
2,46.07,200.0,265.58
2,46.06,226.3,280.3
2,45.95,246.6,328.5
1,45.9,216.5,267.9
2,45.86,248.0,324.93
2,45.83,251.5,275.07
2,45.83,191.0,241.07
2,45.8,248.0,307.13
2,45.77,200.0,257.63
2,45.77,230.0,330.19
2,45.74,286.5,364.68
2,45.73,196.9,274.34
2,45.68,220.0,278.12
2,45.65,160.13,209.47
2,45.65,294.2,298.45
2,45.63,172.0,231.41
1,45.6,176.0,246.26
1,45.6,70.0,80.19
1,45.6,297.0,367.99
2,45.56,303.75,412.96
2,45.54,193.0,258.18
2,45.53,231.9,261.34
2,45.53,189.6,225.89
2,45.53,293.5,357.3
2,45.51,121.5,183.46
2,45.51,200.0,220.0
2,45.49,302.6,320.85
2,45.48,231.2,241.89
2,45.44,284.4,292.65
2,45.43,220.7,250.08
1,45.4,283.7,364.95
2,45.38,163.3,208.44
2,45.38,287.9,316.15
2,45.37,296.3,384.09
2,45.31,250.0,273.07
2,45.31,166.1,187.78
1,45.3,168.9,208.15
2,45.28,190.6,238.73
2,45.25,219.3,275.19
2,45.22,185.4,252.06
2,45.21,300.0,355.07
2,45.21,279.5,284.5
1,45.2,280.2,288.45
2,45.19,205.0,207.75
2,45.19,175.0,195.13
2,45.16,200.0,235.63
2,45.16,195.9,264.81
2,45.13,284.4,367.6
2,45.1,189.2,235.58
1,45.1,190.3,268.62
2,45.09,250.0,309.53
2,45.07,219.3,230.49
2,45.04,250.8,313.44
2,45.03,184.7,214.71
2,45.01,241.0,267.94
2,45.0,245.2,300.89
2,44.98,253.6,278.04
2,44.98,280.9,346.63
2,44.98,162.6,192.61
2,44.96,251.5,279.19
2,44.96,248.0,283.07
2,44.88,161.9,177.28
2,44.85,220.0,247.0
2,44.84,248.0,271.57
2,44.8,280.2,290.95
1,44.8,256.4,266.59
2,44.79,236.1,255.73
2,44.77,260.0,299.69
2,44.76,303.3,345.3
2,44.76,242.4,266.97
2,44.74,286.5,348.9
2,44.73,241.7,301.92
2,44.73,200.0,250.38
2,44.71,225.0,227.75
1,44.7,150.0,179.69
2,44.64,298.4,301.66
2,44.62,201.8,239.3
1,44.6,154.0,185.73
2,44.57,250.1,341.85
2,44.52,267.6,292.29
2,44.51,240.3,308.57
2,44.48,288.6,309.29
2,44.47,161.9,190.47
2,44.4,250.0,257.75
1,44.4,179.1,266.16
2,44.4,159.1,187.36
2,44.39,184.3,211.43
2,44.39,187.1,239.4
2,44.37,166.1,176.85
2,44.37,280.9,332.84
2,44.36,224.2,255.39
2,44.35,158.4,186.53
2,44.33,130.0,181.58
2,44.3,271.1,285.79
2,44.26,280.0,302.74
2,44.19,221.4,271.72
2,44.18,297.7,320.14
2,44.18,229.8,262.49
2,44.17,275.3,365.11
2,44.15,294.9,305.09
2,44.15,161.2,234.21
2,44.13,265.5,311.69
2,44.13,180.0,219.3
1,44.1,110.0,143.59
1,44.1,245.9,251.65
2,44.08,100.0,116.0
2,44.01,200.0,209.69
2,43.94,208.8,248.75
2,43.94,229.8,253.24
2,43.94,265.5,292.44
1,43.9,200.0,259.63
2,43.86,225.6,249.67
2,43.85,157.0,183.57
2,43.84,280.0,347.28
2,43.82,240.3,264.84
2,43.78,266.9,326.83
2,43.64,235.4,272.9
2,43.64,242.4,302.76
2,43.64,150.0,185.75
2,43.62,177.0,233.81
2,43.59,169.6,179.79
2,43.56,308.0,394.43
2,43.54,264.1,345.56
1,43.5,263.4,277.65
1,43.5,250.0,251.0
2,43.49,178.7,233.19
2,43.45,225.0,298.06
2,43.43,167.5,202.5
2,43.4,225.6,299.25
2,43.4,224.9,242.59
2,43.39,199.7,231.71
2,43.37,140.0,141.0
2,43.35,175.0,221.69
2,43.26,207.8,225.95
2,43.26,208.1,259.11
2,43.25,265.5,303.75
2,43.23,222.8,286.97
2,43.23,156.3,189.96
1,43.2,273.2,319.39
2,43.19,236.1,253.03
2,43.13,234.0,284.19
2,43.13,229.1,287.15
2,43.11,160.0,183.82
2,43.11,280.2,290.89
2,43.08,236.1,246.29
2,43.07,231.9,261.28
2,43.01,200.0,230.26
1,43.0,261.3,279.48
2,42.98,249.4,280.47
2,42.96,214.4,280.3
2,42.92,259.2,287.45
2,42.92,225.6,274.64
2,42.85,208.1,252.17
2,42.81,164.0,217.45
1,42.8,250.0,329.7
2,42.74,154.0,185.38
2,42.72,219.0,245.17
2,42.71,206.0,264.14
1,42.7,277.4,348.09
2,42.68,243.1,276.23
2,42.66,207.4,231.94
2,42.64,125.0,177.33
2,42.63,300.0,361.2
2,42.62,184.0,207.07
2,42.61,208.8,261.84
2,42.6,172.1,254.63
2,42.54,247.0,277.01
2,42.53,245.0,320.58
2,42.53,230.5,248.94
2,42.53,255.0,311.1
2,42.52,217.2,272.52
2,42.51,140.0,205.31
2,42.51,177.7,224.71
2,42.49,220.0,255.07
2,42.47,212.0,281.73
2,42.46,246.6,256.79
2,42.45,210.0,239.63
2,42.39,173.1,224.11
2,42.36,154.2,212.82
2,42.31,208.1,251.52
2,42.31,254.3,292.55
2,42.3,230.0,304.98
1,42.3,180.0,247.63
1,42.3,216.5,244.68
1,42.3,151.4,217.36
2,42.3,154.2,192.96
2,42.29,259.9,289.47
2,42.26,231.9,292.61
2,42.23,305.0,395.73
2,42.22,232.6,259.34
1,42.2,234.0,306.49
2,42.2,315.0,405.33
2,42.16,231.9,289.56
2,42.08,225.6,249.8
2,42.03,151.4,194.58
1,42.0,200.0,235.35
2,41.97,224.2,280.92
2,41.97,165.4,234.49
2,41.94,200.0,211.0
2,41.92,233.3,309.29
2,41.91,207.4,240.37
2,41.89,185.7,217.08
2,41.88,161.5,191.51
2,41.87,280.0,359.25
2,41.86,260.0,337.43
2,41.84,224.9,283.01
2,41.84,219.3,258.37
1,41.8,254.3,277.55
2,41.8,210.2,235.95
2,41.74,243.8,321.55
2,41.74,243.8,305.69
2,41.74,170.0,215.01
2,41.72,70.0,97.13
2,41.72,70.0,74.0
2,41.7,224.9,294.59
2,41.65,140.0,160.13
2,41.64,250.1,310.87
2,41.62,70.0,99.23
2,41.61,192.7,230.14
2,41.6,165.0,236.06
2,41.57,247.3,296.37
2,41.57,227.0,242.19
2,41.51,229.8,242.49
1,41.5,245.2,254.45
2,41.5,221.4,246.97
2,41.49,227.0,237.19
2,41.49,246.0,299.4
2,41.44,273.9,287.15
2,41.42,273.2,288.95
2,41.39,171.7,201.96
2,41.36,228.4,238.59
2,41.36,289.3,296.0
2,41.35,70.0,82.69
2,41.33,200.0,209.69
1,41.3,200.0,213.75
2,41.28,194.8,212.49
2,41.25,172.4,185.09
2,41.24,283.7,357.7
2,41.23,231.9,244.59
2,41.21,174.2,206.21
2,41.2,201.8,212.99
2,41.2,150.0,154.0
1,41.2,177.0,231.73
2,41.18,168.6,221.67
2,41.16,243.1,300.34
2,41.15,225.6,256.92
2,41.13,120.0,165.41
2,41.12,240.0,284.59
1,41.1,156.0,217.27
2,41.05,227.7,232.7
2,41.01,238.2,254.45
2,41.0,212.3,282.09
2,40.99,146.5,164.63
2,40.96,153.5,174.44
2,40.96,210.2,222.89
2,40.95,189.2,241.92
2,40.95,249.4,308.57
2,40.94,220.7,245.77
2,40.93,242.4,307.59
2,40.92,220.7,250.39
1,40.9,173.1,215.98
2,40.9,211.6,283.65
2,40.89,246.6,275.67
2,40.86,224.0,310.46
2,40.85,185.0,235.13
2,40.85,187.8,253.04
2,40.85,218.6,277.69
2,40.84,269.7,327.19
2,40.82,262.0,265.25
1,40.8,65.0,96.0
2,40.79,255.7,291.27
2,40.76,225.5,311.99
2,40.72,200.0,229.69
2,40.71,230.0,255.07
2,40.66,218.6,231.29
2,40.65,150.0,189.44
2,40.63,161.2,179.33
2,40.55,275.0,316.43
2,40.54,70.0,80.94
2,40.52,210.0,227.94
2,40.52,239.6,301.85
2,40.51,227.0,236.25
1,40.5,236.8,252.99
1,40.5,180.0,182.75
2,40.47,250.0,328.66
2,40.44,169.3,220.0
2,40.44,250.8,318.24
2,40.43,165.1,234.23
2,40.42,150.7,160.89
2,40.41,245.0,246.0
1,40.4,263.4,282.65
1,40.4,345.59,361.28
1,40.4,200.0,215.75
2,40.4,70.0,82.69
1,40.4,218.6,302.59
2,40.34,286.0,318.75
2,40.33,248.0,284.51
2,40.32,164.4,197.47
2,40.31,174.9,223.63
1,40.3,184.3,241.44
2,40.28,180.0,251.66
2,40.27,143.7,199.67
2,40.23,198.0,199.0
2,40.23,130.0,183.98
2,40.22,247.3,286.87
1,40.2,185.0,228.69
2,40.2,206.0,240.44
1,40.2,217.88,238.88
1,40.2,0.0,17.88
2,40.17,178.0,213.07
2,40.16,245.2,280.45
2,40.09,180.0,198.13
2,40.07,224.2,243.83
2,40.03,164.4,230.36
2,40.03,206.0,248.62
2,40.02,225.5,297.93
2,39.98,249.4,265.19
2,39.96,145.1,153.54
2,39.93,238.2,242.45
2,39.93,234.0,238.25
2,39.92,165.8,196.31
2,39.92,150.7,221.9
1,39.9,138.0,194.58
2,39.87,270.0,283.75
2,39.87,215.1,279.53
2,39.86,172.1,235.05
2,39.79,166.5,196.88
2,39.76,262.7,329.57
2,39.75,179.4,216.53
2,39.74,213.0,251.69
2,39.74,212.3,241.99
2,39.68,210.9,262.61
2,39.67,143.7,154.89
2,39.66,265.5,337.06
2,39.64,205.3,261.62
2,39.63,199.7,267.42
2,39.61,225.0,271.2
2,39.59,120.0,182.06
2,39.59,196.9,248.51
2,39.55,162.3,206.68
2,39.54,206.0,238.75
2,39.54,197.6,258.53
2,39.54,120.0,133.5
2,39.53,172.4,179.15
2,39.5,265.5,288.75
2,39.46,189.2,230.05
2,39.45,102.0,137.5
2,39.45,252.2,260.45
2,39.45,150.0,195.29
2,39.44,150.7,158.96
2,39.43,210.2,263.87
2,39.4,167.2,254.66
2,39.39,213.7,223.89
2,39.35,227.0,249.44
2,39.34,238.9,253.36
2,39.33,175.2,255.5
2,39.33,150.0,164.69
1,39.3,150.0,157.94
1,39.3,254.3,258.55
1,39.3,215.0,254.0
2,39.28,143.0,160.13
2,39.27,143.0,209.71
2,39.24,208.1,262.8
2,39.24,244.5,332.13
2,39.23,228.4,234.9
2,39.21,161.2,173.14
1,39.2,55.5,57.0
2,39.19,286.0,325.69
2,39.19,250.8,252.3
2,39.18,150.0,170.0
2,39.17,167.5,219.25
2,39.17,240.0,267.69
2,39.16,180.1,254.18
2,39.15,257.1,287.79
2,39.13,144.4,179.41
2,39.1,165.8,200.18
2,39.1,140.9,172.63
2,39.1,194.8,204.99
1,39.1,160.2,221.2
2,39.08,258.5,284.19
2,39.08,145.8,149.8
2,39.08,185.0,208.63
2,39.07,236.1,322.4
2,39.06,224.44,239.63
2,39.02,220.0,260.01
1,39.0,194.1,245.14
2,38.98,173.8,255.83
2,38.97,183.6,239.23
2,38.96,250.8,263.49
2,38.96,206.0,218.69
2,38.92,164.0,242.41
2,38.92,241.7,275.95
1,38.9,229.1,281.79
2,38.9,154.2,159.2
1,38.9,205.3,212.6
2,38.89,162.3,216.48
2,38.88,145.8,178.98
2,38.86,160.2,209.5
2,38.86,255.7,282.27
2,38.85,233.3,248.74
2,38.83,158.8,249.47
2,38.82,271.1,344.38
2,38.81,191.3,241.44
2,38.81,154.0,161.75
2,38.8,207.4,267.09
1,38.8,163.7,183.58
2,38.77,300.0,361.2
2,38.75,178.7,268.1
2,38.74,162.3,198.96
2,38.73,120.0,124.0
2,38.72,140.0,141.0
2,38.71,166.8,227.48
2,38.71,231.0,260.44
1,38.7,70.0,80.94
1,38.7,163.7,237.08
2,38.69,199.0,255.77
2,38.68,230.5,281.35
2,38.67,161.9,165.15
2,38.67,239.6,277.85
2,38.67,169.6,206.67
2,38.66,130.0,151.35
2,38.66,70.0,82.69
2,38.65,179.4,213.98
2,38.62,164.7,236.94
2,38.61,181.5,196.69
1,38.6,189.0,218.69
2,38.58,145.0,178.2
2,38.56,163.7,242.45
2,38.55,139.5,150.25
2,38.55,178.0,252.01
2,38.53,196.2,225.14
2,38.52,70.0,82.69
2,38.52,164.7,242.27
2,38.51,212.3,249.99
2,38.51,203.9,273.21
1,38.5,160.2,228.21
1,38.5,160.9,200.47
1,38.5,204.6,257.74
2,38.49,237.5,268.08
2,38.49,160.9,179.03
2,38.46,70.0,79.0
2,38.43,177.3,222.69
2,38.43,145.1,155.29
2,38.41,166.1,171.1
2,38.41,199.7,276.57
2,38.4,142.3,152.49
1,38.4,138.1,168.98
1,38.4,194.8,245.99
2,38.39,250.8,254.05
2,38.38,185.0,186.0
2,38.38,206.7,271.25
2,38.37,172.4,218.29
2,38.36,181.5,230.88
2,38.35,179.4,288.59
2,38.34,157.4,197.4
2,38.33,157.4,205.78
2,38.32,158.1,207.48
2,38.32,162.6,207.49
2,38.31,179.8,210.81
1,38.3,138.1,188.29
2,38.3,200.0,201.0
1,38.3,140.2,146.95
1,38.3,70.0,80.19
2,38.29,219.3,290.04
2,38.29,203.2,240.89
2,38.27,205.3,248.74
2,38.26,138.8,184.19
2,38.25,159.5,190.88
2,38.25,70.0,98.88
2,38.24,189.2,237.77
2,38.23,138.8,205.43
2,38.23,240.0,289.2
2,38.2,166.1,168.85
1,38.2,159.5,239.84
2,38.19,158.8,188.81
2,38.19,184.3,205.49
2,38.19,122.11,140.24
2,38.18,173.1,201.23
2,38.16,199.0,222.09
2,38.16,193.4,247.31
2,38.15,203.2,232.27
2,38.13,202.0,278.71
2,38.11,158.8,223.85
2,38.1,158.8,200.18
2,38.09,201.8,241.99
2,38.08,180.0,205.07
2,38.07,149.7,225.28
2,38.07,169.0,175.0
